id|rank|symbol|name|supply|maxSupply|marketCapUsd|volumeUsd24Hr|priceUsd|changePercent24Hr|vwap24Hr|explorer
shiba-inu|14|SHIB|Shiba Inu|549063278876301.9400000000000000||6726132437.0020244675481688|414859632.6607834582812329|0.0000122501953705|-7.5294682269364266|0.0000128118822765|https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
multi-collateral-dai|15|DAI|Multi Collateral DAI|6114906186.2054000000000000||6108987776.7127645176627712|64318008.5796242566778722|0.9990321340487632|0.0471406903315249|0.9996768959977798|https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359
tron|16|TRX|TRON|92253937480.1604800000000000||5766674378.0766694579018856|87811185.0539211136469152|0.0625087073309669|-1.1412328471931979|0.0627264775063042|https://tronscan.org/#/
avalanche|17|AVAX|Avalanche|298714164.2608321300000000|720000000.0000000000000000|5409115928.8757605599076305|69319175.4412046270025058|18.1079994725412903|-6.2909830269776311|18.6875297584042621|https://avascan.info/
uniswap|18|UNI|Uniswap|762209326.5354977000000000|1000000000.0000000000000000|5336230967.8762422609796300|94780701.2840076755164072|7.0010045562302926|-3.7288167298331188|7.1942413872807360|https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
wrapped-bitcoin|19|WBTC|Wrapped Bitcoin|245479.7413694500000000||5024943959.1572507852687885|96688780.8981320192734452|20469.8926727100015041|-0.4671238529837065|20462.6443733033156005|https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
litecoin|20|LTC|Litecoin|71519456.2297682500000000|84000000.0000000000000000|4403058354.2305633237353655|214044389.6999197955926411|61.5644830979279230|10.7921824089568581|56.3399280511722318|http://explorer.litecoin.net/chain/Litecoin
unus-sed-leo|21|LEO|UNUS SED LEO|953954130.0000000000000000||4392424163.6542114441311060|1800622.2775274734122463|4.6044395904593562|0.2593255787862388|4.5365697539604188|https://eospark.com/account/bitfinexleo1
chainlink|22|LINK|Chainlink|491599970.4527867000000000|1000000000.0000000000000000|3828583423.8496138497543495|121879345.8783537095339643|7.7880058054586708|-0.2645282644815782|7.7289179618429192|https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
cosmos|23|ATOM|Cosmos|248453201.0000000000000000||3426822445.8322261498151846|113199674.0547552094129223|13.7926274728584646|-1.9608385005593270|13.9849227736956997|https://www.mintscan.io/
ftx-token|24|FTT|FTX Token|133135513.7356999800000000|352170015.0000000000000000|3421902354.7992749586243301|15571265.8456019352217350|25.7024009506015055|-1.6855534277694256|25.9071027042692182|https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
ethereum-classic|25|ETC|Ethereum Classic|137709379.7498574000000000|210700000.0000000000000000|3317737971.6067208706657202|76204942.0770060501603435|24.0923165701075379|-1.4598348522046974|24.0713794566819180|http://gastracker.io/
stellar|26|XLM|Stellar|25622449981.1516950000000000|50001806812.0000000000000000|2800623735.8770031792220610|32673678.3397197923892544|0.1093035107078827|-1.8801957280908139|0.1099342348797468|https://dashboard.stellar.org/
crypto-com-coin|27|CRO|Crypto.com Coin|25263013692.0000000000000000|30263013692.0000000000000000|2783782193.7525422087532036|17340005.8335820706641869|0.1101920074814383|-4.1571991640337056|0.1125084267905743|https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
